Year	Embarked	Disembarked
1501	190	134
1502	190	134
1503	190	134
1504	190	134
1505	190	134
1506	190	134
1507	190	134
1508	190	134
1509	190	134
1510	190	134
1511	190	134
1512	190	134
1513	190	134
1514	427	302
1515	190	134
1516	1972	1384
1517	1572	1100
1518	1572	1100
1519	1572	1100
1520	1572	1100
1521	404	282
1522	404	282
1523	404	282
1524	404	282
1525	404	282
1526	1794	1256
1527	1794	1256
1528	1794	1256
1529	1794	1256
1530	1794	1256
1531	1723	1206
1532	1723	1206
1533	1723	1206
1534	1723	1206
1535	1723	1206
1536	1158	811
1537	1158	811
1538	1158	811
1539	1158	811
1540	1158	811
1541	3592	2514
1542	3592	2514
1543	3592	2514
1544	3592	2514
1545	3592	2514
1546	1886	1320
1547	1886	1320
1548	1886	1320
1549	1886	1320
1550	1886	1320
1551	275	192
1552	275	192
1553	275	192
1554	275	192
1555	275	192
1556	949	665
1557	855	598
1558	855	598
1559	855	598
1560	855	598
1561	4791	3370
1562	4799	3377
1563	5108	3597
1564	4817	3392
1565	5226	3684
1566	2995	2120
1567	3429	2430
1568	3486	2464
1569	3030	2150
1570	3044	2162
1571	2928	2086
1572	2877	2048
1573	2894	2062
1574	2911	2077
1575	2930	2093
1576	2898	2073
1577	2919	2091
1578	2942	2110
1579	2966	2130
1580	3191	2322
1581	5051	3630
1582	5100	3672
1583	5390	3884
1584	5209	3764
1585	5270	3815
1586	6022	4348
1587	6092	4408
1588	6169	4473
1589	6250	4542
1590	6338	4616
1591	3437	2600
1592	3539	2687
1593	3650	2780
1594	3769	2880
1595	10388	7532
1596	10792	7836
1597	11677	8635
1598	11115	8150
1599	11006	8054
1600	11193	8212
1601	6624	5043
1602	6841	5226
1603	7073	5424
1604	7660	5924
1605	7597	5866
1606	10949	8343
1607	10858	8237
1608	11063	8428
1609	11430	8740
1610	11827	9075
1611	8021	6473
1612	8938	7236
1613	8983	7286
1614	9522	7742
1615	10721	8767
1616	18945	14515
1617	19624	15090
1618	21206	16446
1619	21150	16381
1620	21825	17098
1621	22397	17498
1622	22397	17498
1623	22397	17498
1624	22397	17498
1625	22397	17498
1626	15117	12402
1627	15401	12647
1628	15258	12502
1629	15117	12402
1630	10616	8495
1631	11730	9136
1632	11730	9136
1633	12458	9767
1634	11730	9136
1635	11730	9136
1636	11771	9185
1637	11949	9609
1638	12373	9888
1639	12570	9970
1640	12160	9669
1641	11512	9011
1642	9739	7886
1643	11783	9628
1644	17580	14697
1645	16507	12880
1646	16388	13135
1647	12277	9756
1648	6992	5667
1649	10396	8638
1650	10170	8495
1651	10982	8701
1652	11596	9466
1653	10622	8718
1654	13747	11072
1655	13224	11195
1656	19694	15664
1657	17439	13787
1658	23726	19726
1659	18929	15468
1660	15728	13245
1661	19845	16039
1662	17548	14863
1663	16946	14070
1664	26451	21450
1665	22164	18026
1666	22621	18643
1667	21599	18052
1668	30355	24809
1669	29304	24031
1670	22706	18924
1671	23581	19230
1672	18452	15168
1673	18237	14799
1674	19246	16089
1675	23323	19044
1676	23210	19232
1677	20897	17593
1678	24274	19612
1679	25455	20708
1680	25718	21265
1681	34223	27439
1682	27925	22597
1683	32149	25534
1684	22751	18780
1685	28499	23419
1686	23051	18640
1687	28959	23788
1688	26078	21684
1689	20220	16973
1690	16710	14183
1691	25752	21734
1692	28448	23408
1693	25983	21406
1694	23880	19353
1695	24293	20112
1696	30009	25836
1697	37104	31853
1698	47542	40387
1699	42969	35012
1700	53578	44141
1701	55754	47276
1702	45713	38770
1703	34476	29497
1704	37195	31559
1705	38452	30781
1706	31546	27564
1707	39853	34710
1708	39927	33876
1709	32118	27408
1710	39206	33308
1711	36283	31168
1712	34247	29540
1713	41913	35563
1714	49716	41595
1715	48819	41059
1716	46923	39165
1717	47812	40235
1718	52274	43990
1719	48442	41022
1720	46980	39701
1721	41163	35305
1722	43102	36653
1723	40366	34822
1724	60448	51922
1725	56181	48080
1726	61915	52902
1727	58748	49758
1728	58015	49209
1729	66483	55035
1730	61972	52532
1731	62069	52309
1732	60334	49598
1733	52635	44602
1734	54960	46836
1735	52597	44380
1736	58283	48874
1737	67359	56787
1738	57117	47896
1739	69094	57668
1740	63556	53952
1741	62485	53030
1742	62856	53157
1743	56703	49550
1744	69909	59964
1745	35610	31249
1746	35213	30485
1747	54007	45747
1748	54908	46181
1749	66912	56498
1750	67985	56125
1751	62074	52858
1752	72410	61683
1753	70524	61005
1754	74559	62797
1755	81929	70396
1756	64980	56582
1757	51364	43615
1758	55410	48313
1759	50991	44094
1760	58717	50150
1761	68258	56553
1762	60222	50905
1763	59890	51626
1764	86408	74266
1765	92245	79473
1766	98292	82346
1767	89939	75879
1768	84531	73062
1769	84261	72704
1770	94913	80013
1771	87686	75227
1772	95577	81886
1773	88732	75184
1774	98492	84732
1775	92908	79006
1776	87146	77745
1777	66847	60249
1778	60825	54931
1779	37759	34165
1780	39694	36717
1781	48480	44125
1782	52401	47301
1783	62261	55933
1784	104363	94382
1785	95152	84179
1786	95529	83200
1787	101306	88239
1788	104040	91267
1789	92413	81054
1790	112048	98141
1791	107578	94875
1792	115517	101945
1793	99562	89623
1794	67471	61545
1795	69236	64343
1796	68234	61836
1797	75154	67946
1798	71267	65553
1799	88084	79802
1800	86301	77528
1801	79220	71371
1802	98942	88813
1803	97721	86953
1804	88675	77894
1805	89348	79071
1806	102162	89344
1807	112575	97035
1808	42844	37554
1809	39936	35330
1810	72129	64105
1811	57953	52202
1812	60473	54055
1813	50698	45862
1814	53935	49136
1815	59668	53392
1816	76843	69653
1817	88751	80059
1818	87433	78508
1819	76484	68047
1820	73605	63788
1821	74809	65021
1822	87808	77190
1823	50796	45466
1824	66020	59199
1825	88162	78127
1826	97197	88478
1827	92710	82585
1828	92718	83564
1829	117644	105930
1830	87883	78662
1831	25353	22772
1832	29327	25776
1833	34221	29404
1834	46532	39603
1835	81252	68518
1836	102312	85105
1837	103363	85569
1838	100450	82337
1839	98397	81365
1840	65078	57151
1841	51317	44791
1842	37937	33335
1843	55047	45306
1844	48786	41190
1845	33831	28191
1846	67709	55663
1847	84239	69277
1848	86290	70812
1849	85057	70014
1850	46329	38995
1851	16801	14060
1852	10542	9082
1853	17802	15455
1854	14819	12706
1855	6396	5343
1856	8680	7328
1857	15225	12559
1858	19636	16005
1859	34785	28369
1860	26731	22216
1861	24395	20804
1862	14227	11904
1863	7774	6955
1864	4653	3895
1865	2265	1855
1866	877	722
